"page_url"	"nid"	"page_title"	"antall_ansatte"
"/yrker/beskrivelse/badevakt"	"395742"	"Badevakt"	"9569"
"/yrker/beskrivelse/produktutvikler"	"3962609"	"Produktutvikler"	"9474"
"/yrker/beskrivelse/konduktor"	"395867"	"Konduktør"	"9435"
"/yrker/beskrivelse/politijurist"	"395941"	"Politijurist"	"9331"
"/yrker/beskrivelse/biolog"	"395756"	"Biolog"	"9327"
"/yrker/beskrivelse/landmaler"	"395883"	"Landmåler"	"9128"
"/yrker/beskrivelse/energioperator"	"396082"	"Energioperatør"	"9037"
"/yrker/beskrivelse/toller"	"396013"	"Toller"	"9024"
"/yrker/beskrivelse/billakkerer"	"395751"	"Billakkerer"	"8957"
"/yrker/beskrivelse/industrimontor"	"3948518"	"Industrimontør"	"8851"
"/yrker/beskrivelse/landskapsarkitekt"	"395884"	"Landskapsarkitekt"	"8834"
"/yrker/beskrivelse/optiker"	"395924"	"Optiker"	"8793"
"/yrker/beskrivelse/geofysiker"	"395813"	"Geofysiker"	"8723"
"/yrker/beskrivelse/barista"	"3962593"	"Barista"	"8698"
"/yrker/beskrivelse/kaptein"	"396237"	"Kaptein"	"8173"
"/yrker/beskrivelse/grafisk_trykker"	"396046"	"Grafisk trykker"	"8112"
"/yrker/beskrivelse/tannpleier"	"396003"	"Tannpleier"	"7979"
"/yrker/beskrivelse/branningenior"	"396176"	"Branningeniør"	"7969"
"/yrker/beskrivelse/automasjonsingenior"	"3962597"	"Automasjonsingeniør"	"7942"
"/yrker/beskrivelse/prosessingenior"	"396209"	"Prosessingeniør"	"7647"
"/yrker/beskrivelse/motormekaniker"	"395912"	"Motormekaniker"	"7576"
"/yrker/beskrivelse/kulde-_og_varmepumpemontor"	"395877"	"Kulde- og varmepumpemontør"	"7536"
"/yrker/beskrivelse/geolog"	"395815"	"Geolog"	"7448"
"/yrker/beskrivelse/karriereveileder"	"395855"	"Karriereveileder"	"7258"
"/yrker/beskrivelse/gravferdskonsulent"	"396097"	"Gravferdskonsulent"	"7184"
"/yrker/beskrivelse/hotelldirektor"	"395830"	"Hotelldirektør"	"7073"
"/yrker/beskrivelse/matteknolog"	"3946566"	"Matteknolog"	"6988"
"/yrker/beskrivelse/studiekonsulent"	"3962581"	"Studiekonsulent"	"6949"
"/yrker/beskrivelse/skadedyrbekjemper"	"396247"	"Skadedyrbekjemper"	"6915"
"/yrker/beskrivelse/dommer"	"395777"	"Dommer"	"6900"
"/yrker/beskrivelse/samfunnsokonom"	"395967"	"Samfunnsøkonom"	"6863"
"/yrker/beskrivelse/slakter"	"395983"	"Slakter"	"6788"
"/yrker/beskrivelse/organistkantor"	"395926"	"Organist/Kantor"	"6782"
"/yrker/beskrivelse/fysiker"	"395808"	"Fysiker"	"6779"
"/yrker/beskrivelse/fagoperator_i_industrisomfaget"	"396089"	"Fagoperatør i industrisømfaget"	"6726"
"/yrker/beskrivelse/bronnoperator"	"395765"	"Brønnoperatør"	"6646"
"/yrker/beskrivelse/industrimaler"	"395841"	"Industrimaler"	"6632"
"/yrker/beskrivelse/hestefaglaert"	"396064"	"Hestefaglært"	"6534"
"/yrker/beskrivelse/idrettskonsulent"	"395837"	"Idrettskonsulent"	"6514"
"/yrker/beskrivelse/arrangementsplanlegger"	"3964332"	"Arrangementsplanlegger"	"6465"
"/yrker/beskrivelse/bokhandler"	"395762"	"Bokhandler"	"6399"
"/yrker/beskrivelse/takstmann"	"395999"	"Takstmann"	"6394"
"/yrker/beskrivelse/bilmekaniker_tunge_kjoretoy"	"396195"	"Bilmekaniker (tunge kjøretøy)"	"6329"
"/yrker/beskrivelse/webdesigner"	"396024"	"Webdesigner"	"6267"
"/yrker/beskrivelse/aksjemegler"	"395718"	"Aksjemegler"	"6259"
"/yrker/beskrivelse/blomsterdekorator"	"395760"	"Blomsterdekoratør"	"6229"
"/yrker/beskrivelse/hudpleier"	"395834"	"Hudpleier"	"6208"
"/yrker/beskrivelse/faglaerer"	"395788"	"Faglærer"	"6103"
"/yrker/beskrivelse/lonnskonsulent"	"3962590"	"Lønnskonsulent"	"6052"
"/yrker/beskrivelse/inspisient"	"395846"	"Inspisient"	"6020"
"/yrker/beskrivelse/biokjemiker"	"395755"	"Biokjemiker"	"6002"
"/yrker/beskrivelse/samfunnsplanlegger"	"3946677"	"Samfunnsplanlegger"	"5992"
"/yrker/beskrivelse/sosiolog"	"395988"	"Sosiolog"	"5919"
"/yrker/beskrivelse/landbruksmaskinmekaniker"	"396072"	"Landbruksmaskinmekaniker"	"5867"
"/yrker/beskrivelse/skolefritidsleder_sfo"	"3962588"	"Skolefritidsleder (SFO)"	"5839"
"/yrker/beskrivelse/utstillingsdesigner"	"396201"	"Utstillingsdesigner"	"5776"
"/yrker/beskrivelse/heismontor"	"395822"	"Heismontør"	"5712"
"/yrker/beskrivelse/skuespiller"	"395982"	"Skuespiller"	"5683"
